S,EQ1,EQ2,EQ3,PQ1,PQ2,PQ3,IQ1,IQ2,IQ3,E1,E2,E3,P1,P2,P3,I1,I2,I3,H1,H2,H3,C1,C2,C3,V1,V2,V3,M,R,casesI,casesIQ,casesH,deathsIIQ,deathsCV
8584980,0,1,0,0,0,0,8,5,6,27,24,26,6,9,3,9,7,12,1,2,1,2,4,1,1,0,1,141390,1273474,6,7,2,2,2
8539381,0,0,1,0,0,0,4,10,4,27,23,22,6,1,8,7,11,11,3,2,0,0,0,0,2,0,1,145637,1314839,2,3,4,1,1
8617671,1,2,1,0,0,0,13,10,7,31,30,25,5,5,5,15,12,16,2,3,0,1,2,0,0,2,1,137874,1244266,6,7,5,1,0
8624967,1,0,0,1,0,0,11,15,6,21,26,18,7,8,4,10,11,15,1,1,2,0,3,2,0,0,0,137289,1237581,4,11,3,0,1
8603016,2,2,0,1,0,0,8,13,16,23,29,28,8,9,5,12,10,8,1,2,2,3,1,1,0,0,0,139604,1257196,4,4,1,0,3
8561404,0,0,0,0,0,0,8,9,5,15,22,25,6,5,2,5,13,8,3,2,1,5,0,4,1,0,0,143335,1295122,3,4,3,0,1
8591674,1,2,1,0,1,0,7,3,11,18,25,16,7,3,3,12,12,12,0,3,2,1,2,0,0,1,1,141179,1267003,4,4,2,2,2
8588691,0,1,1,0,0,0,4,3,10,22,22,25,4,7,11,6,13,10,3,2,3,0,0,1,1,0,0,141477,1269683,5,3,5,1,1
8623661,2,1,0,1,0,0,10,13,11,25,18,21,5,4,8,10,11,9,3,6,4,3,1,2,2,0,1,137347,1238821,7,3,7,1,1
8532872,0,0,3,0,0,0,5,12,7,35,21,20,6,9,7,8,8,12,1,3,2,2,3,2,1,2,0,147073,1319886,6,6,4,1,0
8540562,0,0,1,0,0,0,5,4,13,28,40,30,8,7,6,3,10,11,1,1,1,1,1,2,1,1,1,146202,1313060,3,3,2,0,1
8620769,0,3,3,1,0,0,12,6,14,25,26,30,4,3,3,13,11,11,1,2,0,0,0,0,0,1,1,138209,1240852,8,7,2,0,0
8590226,0,1,1,0,0,1,8,10,4,23,18,25,9,2,3,6,13,9,2,6,3,1,1,2,1,0,0,140623,1269002,6,4,7,0,1
8621816,0,0,2,0,0,0,9,12,10,26,16,38,3,6,8,10,11,15,2,3,1,1,1,1,1,1,0,137860,1240147,3,7,2,2,2
8639776,1,0,0,0,0,1,7,2,6,19,19,38,4,4,12,17,16,11,3,1,2,1,0,1,1,0,3,136140,1223915,7,3,4,1,0
8578876,0,1,1,0,0,0,6,8,11,20,33,16,9,5,5,10,12,10,0,1,1,3,1,3,3,0,0,142065,1278900,7,3,0,1,0
8601196,1,1,0,0,0,0,6,9,8,28,12,28,13,1,2,16,8,10,1,4,4,0,0,0,0,1,0,140098,1258553,8,4,4,1,1
8604069,0,1,2,0,0,0,13,11,5,22,28,23,11,9,3,6,10,8,1,6,5,0,2,2,0,0,2,139790,1255971,5,5,3,0,0
8617303,2,2,2,0,0,0,8,7,7,31,24,22,8,4,9,10,8,14,7,5,5,1,1,0,0,1,0,138322,1244197,7,3,8,1,1
8587198,0,1,1,0,0,0,5,15,6,37,30,30,4,4,6,11,10,15,4,2,1,2,1,2,1,1,1,141291,1271321,6,4,7,1,2
8687668,2,0,0,0,0,0,10,11,9,19,27,32,5,5,6,11,11,9,3,4,0,2,2,0,1,3,2,130962,1181196,12,8,5,1,2
8575766,0,2,0,0,1,0,3,11,11,31,25,20,5,7,6,13,11,17,2,5,2,3,2,1,2,3,0,142159,1281892,7,2,6,0,2
8532280,0,0,1,0,0,0,3,4,6,27,26,27,5,10,4,12,16,14,2,4,2,0,4,0,1,1,0,147140,1320411,7,3,4,0,0
8589090,2,1,0,0,0,0,11,8,6,21,24,25,7,8,10,8,12,6,2,3,3,0,1,2,1,1,0,141483,1269265,3,5,3,0,0
8637400,1,1,1,0,0,0,14,7,15,25,27,24,8,4,5,10,8,15,1,2,2,1,1,0,3,0,2,136341,1226082,6,6,3,0,2
8667843,2,1,1,0,0,0,7,10,9,21,26,37,3,8,9,11,15,5,3,5,0,4,0,1,1,0,0,132726,1199252,5,5,6,1,2
8648932,0,0,0,0,0,0,12,12,10,30,26,22,6,5,5,15,14,9,1,3,2,0,1,2,1,1,0,134134,1216757,8,10,2,0,4
8624284,0,0,1,0,0,0,10,6,12,25,33,20,4,3,5,9,14,8,2,3,5,0,3,2,0,0,0,137508,1238043,6,8,5,1,0
8550793,0,1,0,0,0,0,10,13,8,22,34,24,8,5,5,9,9,12,4,1,2,1,1,0,3,1,2,144795,1304237,5,8,4,0,1
8636427,1,0,1,0,1,0,7,6,9,20,36,27,2,7,11,9,11,11,5,4,0,1,1,2,0,1,0,136737,1226663,7,2,5,0,0
8601871,1,2,2,0,0,0,11,9,9,32,22,25,4,6,3,11,14,11,1,2,4,4,1,3,1,1,0,139367,1258583,5,7,4,1,1
8653495,0,1,0,0,0,0,8,8,11,27,34,23,5,7,9,20,14,16,5,2,8,1,0,0,0,2,0,135247,1211057,8,5,7,2,0
8701250,0,2,0,0,0,0,8,6,2,17,22,28,2,5,3,13,10,11,2,0,2,3,3,1,1,0,0,129789,1168820,10,3,3,1,0
8570285,1,0,0,0,0,0,6,7,11,26,28,29,4,12,5,10,14,18,3,2,2,0,2,1,2,2,0,142796,1286734,7,4,5,3,1
8642037,2,1,1,0,0,0,10,12,12,25,18,26,7,9,6,9,11,16,2,3,0,1,0,2,2,1,0,135863,1221924,4,4,3,2,0
8573039,2,1,0,0,0,1,8,8,8,17,40,22,4,7,12,13,13,13,3,1,1,0,0,1,0,0,1,142348,1284437,6,4,4,0,1
8577825,2,2,2,0,0,0,3,12,5,24,20,21,6,6,7,9,18,14,5,2,0,1,1,1,1,1,3,142535,1279474,6,2,5,0,0
8601140,0,0,0,1,0,2,5,9,6,25,21,21,7,6,8,14,12,16,3,1,5,0,1,1,0,2,0,140463,1258231,5,3,5,1,2
8609364,2,0,1,0,0,0,7,10,7,33,18,14,5,10,11,12,14,13,3,3,3,1,1,3,1,0,1,138525,1251938,7,5,3,0,0
8650648,1,0,0,0,0,0,7,13,9,32,23,26,8,9,8,8,9,19,2,3,5,2,1,0,0,1,2,134028,1215136,6,5,4,0,0
8567497,2,1,1,0,0,0,11,10,5,26,20,27,3,6,7,11,12,13,4,1,2,0,2,1,1,0,1,142990,1289346,7,5,5,2,3
8506103,0,1,0,0,0,0,6,8,9,26,30,22,6,6,3,14,5,9,2,1,3,1,1,0,0,0,1,149801,1343942,8,2,4,1,3
8552092,0,1,3,0,0,0,5,3,12,29,32,25,3,7,3,15,21,18,0,1,2,2,4,0,1,1,0,144417,1303303,8,3,1,2,1
8607775,1,2,1,0,1,0,10,4,8,28,32,25,12,3,6,10,14,12,6,3,2,3,0,3,2,1,2,139408,1252626,8,2,6,0,1
8666017,0,1,0,0,0,0,9,14,9,22,25,22,4,6,3,11,9,9,0,2,2,0,4,1,2,3,1,133427,1200397,4,5,3,1,2
8574495,1,0,1,0,0,1,9,7,14,25,28,14,3,11,5,12,13,12,3,1,3,0,3,1,0,0,0,142719,1282619,7,5,4,1,1
8627746,0,0,1,0,0,0,9,12,8,14,26,25,10,6,8,18,18,17,4,2,0,3,2,1,0,0,1,136855,1235214,6,6,6,0,1
8596787,0,0,1,0,1,0,11,15,11,24,19,26,5,4,3,7,21,7,5,2,3,1,2,0,0,0,2,140628,1262415,5,5,6,0,1
8628252,1,0,0,0,0,0,18,12,6,26,33,26,6,7,7,14,16,18,6,1,1,1,2,1,2,0,2,136825,1234717,10,10,8,0,0
8598614,1,0,0,0,0,0,9,9,5,28,25,22,6,10,9,8,14,10,5,3,2,1,1,0,0,2,1,140787,1260428,6,5,8,1,2
8667054,1,0,1,0,1,1,5,12,11,37,35,26,7,7,6,10,12,14,5,2,1,2,1,3,0,0,1,133296,1199449,5,2,5,0,0
8537741,2,0,0,0,0,1,6,7,6,38,45,28,8,6,6,13,27,11,0,3,3,0,1,0,2,0,0,146343,1315703,8,1,3,0,0
8554066,0,1,1,0,1,0,6,9,5,37,24,34,10,3,9,6,22,15,3,6,1,3,1,0,1,0,0,144640,1301096,4,5,5,0,0
8574642,1,0,0,0,0,0,13,13,10,23,27,26,3,9,6,18,10,10,1,1,1,3,0,2,1,0,0,142473,1282707,10,11,3,0,1
8530384,2,1,2,0,0,0,12,12,9,24,22,26,5,7,5,14,18,7,1,3,4,1,1,0,1,2,0,147051,1322386,9,7,3,2,2
8585841,1,1,1,0,0,0,5,11,10,22,37,22,6,7,4,10,12,11,3,2,3,4,2,1,2,0,0,141915,1272067,6,0,5,0,1
8678575,1,2,0,0,0,1,9,12,9,25,30,23,6,4,6,13,9,13,3,3,2,1,0,2,1,0,1,132575,1188674,5,5,4,1,2
8584664,1,1,2,0,1,1,11,8,14,29,19,36,6,7,5,17,16,10,2,2,2,1,0,1,1,0,0,141590,1273553,13,7,3,1,1
8561233,0,2,2,1,0,0,10,6,7,20,27,19,8,7,6,10,13,21,2,2,4,2,3,2,0,1,0,144248,1294344,9,9,5,0,2
8637932,0,1,1,0,0,0,11,13,9,37,32,34,2,12,6,15,13,20,2,3,3,2,2,0,0,0,0,136688,1225162,8,7,3,3,2
8675068,0,0,0,0,0,1,11,9,10,38,35,32,3,8,6,11,10,13,3,5,3,1,1,2,0,0,1,131959,1192770,6,5,6,1,1
8555252,0,1,1,0,0,1,8,8,8,35,28,23,9,10,7,9,14,11,3,3,2,2,0,1,1,2,2,144499,1300060,4,4,5,1,1
8589902,0,0,0,0,0,0,11,12,8,29,21,25,5,6,3,6,6,11,6,5,2,1,2,1,0,1,2,141860,1268075,0,8,8,2,0
8595269,0,1,0,0,0,0,4,4,6,25,20,35,4,5,5,10,8,6,3,4,1,0,1,2,1,1,2,140133,1264450,8,3,8,0,1
8599815,0,0,0,0,0,0,10,14,10,26,25,26,8,4,7,19,12,10,1,2,2,0,0,0,1,0,3,139256,1260749,12,5,3,0,1
8607798,3,1,0,0,0,0,12,6,10,27,25,20,7,5,8,13,13,11,1,3,3,1,2,0,0,1,0,139526,1252504,11,7,1,1,0
8558656,1,0,3,0,0,0,10,12,7,20,31,22,7,7,11,12,8,8,2,4,2,3,1,1,3,0,2,144044,1297123,6,6,7,1,4
8583011,2,1,0,0,0,0,11,4,11,29,24,29,7,9,5,16,10,17,5,4,3,2,5,0,3,0,0,141478,1275314,6,8,4,0,2
8552152,1,0,2,0,1,0,7,6,11,31,28,25,9,9,3,16,11,12,4,5,4,5,2,1,0,1,1,145117,1302536,13,1,9,0,2
8620546,1,0,1,0,0,0,7,7,14,26,29,31,7,4,6,13,12,12,4,2,5,0,3,1,1,0,0,137615,1241653,8,4,4,1,0
8646781,0,1,1,0,0,0,7,4,7,26,18,22,7,3,5,7,16,12,1,4,4,3,2,2,0,0,1,135933,1217133,4,4,3,1,5
8607478,3,3,3,0,0,0,12,7,8,33,35,22,4,10,5,16,11,19,4,4,2,0,1,0,2,0,0,139368,1252950,10,7,5,2,0
8569988,1,0,1,0,0,0,2,12,9,30,20,32,7,6,4,9,12,15,3,5,3,2,3,2,1,0,0,143125,1286708,4,2,5,1,1
8591991,0,0,0,1,1,0,12,9,11,23,31,21,7,10,3,9,10,11,2,2,3,2,2,1,0,1,1,140916,1266920,4,9,5,1,0
8555894,1,1,3,0,0,0,8,6,6,30,25,31,14,5,3,12,19,19,0,2,1,0,0,1,0,1,1,144781,1299136,11,7,1,0,0
8598220,2,0,2,0,0,0,5,13,6,36,18,34,6,3,9,13,16,8,3,2,2,1,1,1,1,0,0,140026,1261572,9,4,4,3,1
8596213,0,1,2,0,0,0,7,14,9,29,29,18,4,5,4,12,14,8,3,3,0,4,1,0,1,1,0,140169,1263449,8,4,4,1,0
8590352,1,3,0,1,0,0,11,5,7,28,24,23,9,5,8,11,13,13,3,2,6,0,2,1,1,1,0,141455,1268015,8,5,3,2,4
8624834,3,1,1,0,0,0,11,7,15,24,31,24,7,7,5,8,15,16,1,1,1,2,1,1,2,1,2,137758,1237221,7,4,3,0,1
8564755,0,0,0,0,0,0,9,7,11,27,22,25,10,3,7,16,14,7,2,6,0,1,3,0,1,1,2,144352,1290719,6,5,4,0,0
8562874,0,2,1,1,1,0,9,8,8,17,33,23,6,1,8,12,7,17,4,1,4,2,1,0,0,0,1,143714,1293245,6,3,4,0,2
8551615,1,1,1,0,0,1,13,9,12,26,32,30,10,8,4,16,20,13,2,2,6,2,1,1,0,1,0,144884,1303289,9,10,3,0,0
8631957,1,0,0,0,0,1,11,8,9,36,27,24,1,8,6,15,10,15,2,2,2,0,1,1,2,0,2,137252,1230607,10,9,3,0,1
8555619,0,1,0,0,0,1,10,5,3,26,32,18,9,8,4,18,6,8,3,0,4,4,1,3,0,0,1,144426,1299790,4,5,4,0,2
8631611,1,1,0,1,0,0,16,10,11,22,34,23,4,7,4,13,15,7,3,1,2,1,1,1,2,0,0,136576,1231633,6,6,2,0,1
8617184,0,2,0,0,1,0,4,6,6,27,33,33,3,7,9,14,12,14,2,0,1,2,1,3,0,0,0,138490,1244146,8,2,1,1,0
8623737,1,0,1,0,0,0,5,9,12,22,28,26,8,7,9,13,12,10,1,5,2,1,2,0,0,1,1,137683,1238404,4,4,3,1,1
8616964,0,1,0,0,1,1,13,6,6,27,31,23,4,8,5,17,15,12,2,2,3,2,0,2,1,1,0,138353,1244500,8,6,3,2,1
8571984,0,2,3,1,0,1,5,8,13,19,26,18,8,6,7,13,11,8,3,3,2,4,1,0,0,1,1,142977,1284875,11,6,4,0,0
8596307,1,2,1,0,0,0,11,9,13,23,21,27,2,7,7,17,11,7,2,2,5,1,1,0,2,1,1,139930,1263589,10,5,4,1,2
